<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP [TQBR],Daily,20211115,000000,333.800000,341.810000,333.670000,340.300000,6425054.000000
GAZP [TQBR],Daily,20211116,000000,341.480000,342.850000,331.610000,336.790000,6466854.000000
GAZP [TQBR],Daily,20211117,000000,336.000000,351.820000,334.830000,349.980000,7902961.000000
GAZP [TQBR],Daily,20211118,000000,350.050000,359.320000,342.280000,345.560000,10219902.000000
GAZP [TQBR],Daily,20211119,000000,348.470000,350.730000,334.200000,337.620000,9602786.000000
GAZP [TQBR],Daily,20211122,000000,334.990000,335.680000,316.660000,319.200000,15149658.000000
GAZP [TQBR],Daily,20211123,000000,316.090000,341.770000,310.620000,341.770000,15058425.000000
GAZP [TQBR],Daily,20211124,000000,343.870000,348.000000,332.750000,338.300000,9369935.000000
GAZP [TQBR],Daily,20211125,000000,340.000000,343.000000,335.700000,337.550000,4878826.000000
GAZP [TQBR],Daily,20211126,000000,325.000000,332.000000,320.100000,326.000000,10401206.000000
GAZP [TQBR],Daily,20211129,000000,335.000000,345.330000,331.960000,339.200000,9963191.000000
GAZP [TQBR],Daily,20211130,000000,332.500000,339.200000,331.800000,338.520000,1818786.000000
