<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP [TQBR],Daily,20210826,000000,296.000000,296.000000,293.040000,294.340000,2500637.000000
GAZP [TQBR],Daily,20210827,000000,295.800000,300.000000,294.810000,299.660000,3414749.000000
GAZP [TQBR],Daily,20210830,000000,301.700000,305.500000,299.970000,305.170000,6997255.000000
GAZP [TQBR],Daily,20210831,000000,305.830000,307.670000,304.100000,305.650000,6437284.000000
GAZP [TQBR],Daily,20210901,000000,306.600000,313.950000,306.190000,312.890000,7952387.000000
GAZP [TQBR],Daily,20210902,000000,313.590000,314.800000,310.300000,312.300000,5341413.000000
GAZP [TQBR],Daily,20210903,000000,312.700000,317.960000,311.160000,317.940000,6367842.000000
GAZP [TQBR],Daily,20210906,000000,319.000000,329.350000,318.600000,328.930000,8021078.000000
GAZP [TQBR],Daily,20210907,000000,329.930000,333.000000,325.500000,327.730000,7217837.000000
GAZP [TQBR],Daily,20210908,000000,328.490000,328.500000,322.220000,327.600000,5886362.000000
GAZP [TQBR],Daily,20210909,000000,326.000000,328.140000,323.500000,324.570000,4057160.000000
GAZP [TQBR],Daily,20210910,000000,327.000000,330.000000,325.500000,326.430000,4148573.000000
GAZP [TQBR],Daily,20210913,000000,328.000000,333.000000,327.300000,332.750000,5544499.000000
GAZP [TQBR],Daily,20210914,000000,333.100000,339.920000,332.360000,338.980000,9727448.000000
GAZP [TQBR],Daily,20210915,000000,339.390000,344.200000,337.720000,343.340000,10886789.000000
GAZP [TQBR],Daily,20210916,000000,342.000000,342.990000,337.030000,338.500000,9488646.000000
GAZP [TQBR],Daily,20210917,000000,338.720000,339.290000,333.300000,334.500000,6147908.000000
GAZP [TQBR],Daily,20210920,000000,329.720000,332.000000,321.260000,325.700000,7327654.000000
GAZP [TQBR],Daily,20210921,000000,328.700000,336.780000,328.440000,335.300000,7750978.000000
GAZP [TQBR],Daily,20210922,000000,338.400000,341.490000,337.400000,340.590000,6110937.000000
GAZP [TQBR],Daily,20210923,000000,342.000000,345.200000,339.430000,343.470000,6389216.000000
GAZP [TQBR],Daily,20210924,000000,343.600000,344.900000,340.000000,344.290000,4019189.000000
GAZP [TQBR],Daily,20210927,000000,347.950000,355.190000,347.000000,355.190000,8113320.000000
GAZP [TQBR],Daily,20210928,000000,359.000000,361.800000,353.680000,354.070000,9412592.000000
GAZP [TQBR],Daily,20210929,000000,354.050000,360.940000,352.300000,360.880000,6026435.000000
GAZP [TQBR],Daily,20210930,000000,363.250000,364.530000,359.530000,360.800000,7009252.000000
GAZP [TQBR],Daily,20211001,000000,358.450000,363.780000,356.000000,363.250000,4765955.000000
GAZP [TQBR],Daily,20211004,000000,364.670000,378.330000,364.300000,376.060000,10236280.000000
GAZP [TQBR],Daily,20211005,000000,378.020000,389.820000,378.020000,389.820000,13461470.000000
GAZP [TQBR],Daily,20211006,000000,395.000000,397.640000,370.250000,381.300000,21650241.000000
GAZP [TQBR],Daily,20211007,000000,382.180000,384.300000,361.610000,370.700000,16055404.000000
GAZP [TQBR],Daily,20211008,000000,371.500000,373.000000,364.770000,366.170000,7026194.000000
GAZP [TQBR],Daily,20211011,000000,369.000000,372.610000,363.700000,369.810000,7817790.000000
GAZP [TQBR],Daily,20211012,000000,367.270000,368.850000,362.250000,364.100000,5681590.000000
GAZP [TQBR],Daily,20211013,000000,365.240000,365.440000,352.710000,362.770000,10218690.000000
GAZP [TQBR],Daily,20211014,000000,366.400000,369.700000,364.350000,367.000000,5993407.000000
GAZP [TQBR],Daily,20211015,000000,368.400000,369.350000,366.610000,367.760000,3590563.000000
GAZP [TQBR],Daily,20211018,000000,365.010000,366.450000,360.150000,363.500000,4309482.000000
GAZP [TQBR],Daily,20211019,000000,364.980000,368.830000,362.240000,368.830000,5154253.000000
GAZP [TQBR],Daily,20211020,000000,367.990000,370.750000,365.500000,369.970000,3949928.000000
GAZP [TQBR],Daily,20211021,000000,368.000000,370.190000,360.880000,363.370000,4650339.000000
GAZP [TQBR],Daily,20211022,000000,361.400000,364.190000,357.480000,358.120000,4843144.000000
GAZP [TQBR],Daily,20211025,000000,359.990000,365.840000,356.690000,364.840000,5734187.000000
GAZP [TQBR],Daily,20211026,000000,365.000000,369.330000,362.540000,364.820000,5174495.000000
GAZP [TQBR],Daily,20211027,000000,363.290000,365.490000,361.180000,362.170000,3067971.000000
GAZP [TQBR],Daily,20211028,000000,360.980000,362.020000,351.620000,353.210000,8659174.000000
GAZP [TQBR],Daily,20211029,000000,351.100000,352.600000,345.400000,350.180000,7502439.000000
GAZP [TQBR],Daily,20211101,000000,350.200000,359.300000,350.200000,359.100000,4650129.000000
GAZP [TQBR],Daily,20211102,000000,359.240000,360.000000,351.240000,352.480000,4300559.000000
GAZP [TQBR],Daily,20211103,000000,350.560000,353.860000,346.620000,353.020000,3790317.000000
GAZP [TQBR],Daily,20211105,000000,352.000000,354.800000,349.230000,350.600000,2572724.000000
GAZP [TQBR],Daily,20211108,000000,353.000000,356.340000,348.340000,351.470000,3980912.000000
GAZP [TQBR],Daily,20211109,000000,351.060000,353.610000,346.990000,349.460000,3104261.000000
GAZP [TQBR],Daily,20211110,000000,349.990000,351.250000,344.200000,345.800000,3547397.000000
GAZP [TQBR],Daily,20211111,000000,346.940000,348.430000,343.800000,347.440000,4027986.000000
GAZP [TQBR],Daily,20211112,000000,347.000000,347.150000,331.000000,333.600000,12720868.000000
